created_at,text
2018-12-19 23:55:08,"b""RT MicrosoftFlow: jonjob Apologies for the inconveniences, John. There's no info in this regard yet. Your feedback\xe2\x80\xa6 https://t.co/3LvJ7XJFQi"""
2018-12-19 23:55:08,b'Get Data from Microsoft Dynamics GP to Excel \xe2\x80\x93 Part 2 of 4 (with Video) https://t.co/zRFyZUZUPi @belindathegpcsi #MSDYNGP #Excel'
2018-12-19 23:55:07,"b'@yosomaka7 Internal Facebook records show that the company gave Microsoft, Amazon, Netflix and other tech giants fa\xe2\x80\xa6 https://t.co/XuYLl6yPDZ'"
2018-12-19 23:55:06,"b'RT @msdev: Discover ways to use the #cloud to get a competitive edge by accessing new markets, enhancing your custo\xe2\x80\xa6 https://t.co/IQK5o1FXHh'"
2018-12-19 23:55:05,"b""Xbox One's First Official Keyboard Is Built for the Couch: Razer has revealed the Razer Turret for Xbox One, a wire\xe2\x80\xa6 https://t.co/sRtYzfCJra"""
2018-12-19 23:55:04,b'RT @campuscodi: Microsoft Edge engineer describes how Google sabotaged Edge browser performance via constant code changes to its services.\xe2\x80\xa6'
2018-12-19 23:55:03,b'RT @1Man1Game: Call Of Cthulhu Walkthrough [Chapter 1]\n\nhttps://t.co/gdd2uxkG1a\n\xf0\x9f\x91\x86\xf0\x9f\x8f\xbb\xf0\x9f\x91\x86\xf0\x9f\x8f\xbb\xf0\x9f\x91\x86\xf0\x9f\x8f\xbb\xf0\x9f\x91\x86\xf0\x9f\x8f\xbb\xf0\x9f\x91\x86\xf0\x9f\x8f\xbb\xf0\x9f\x91\x86\xf0\x9f\x8f\xbb\xf0\x9f\x91\x86\xf0\x9f\x8f\xbb\xf0\x9f\x91\x86\xf0\x9f\x8f\xbb\n\n#CallOfCthulhu #11Crew #XboxOne https://t\xe2\x80\xa6'
2018-12-19 23:55:03,"b'[https://t.co/xp1mTmWOmy] On the first day of Christmas, Microsoft gave to me... an emergency out-of-band security\xe2\x80\xa6 https://t.co/mmwXCU1JnJ'"
2018-12-19 23:55:02,b'RT @Peter_affiliate: Facebook and Microsoft respond to NYT report on data sharing https://t.co/M30qR6IFTW #affiliatemarketing #advertising\xe2\x80\xa6'
2018-12-19 23:55:01,"b'It\xe2\x80\x99s becoming a point where if you\xe2\x80\x99re a full @Microsoft shop, you should be questioning the 3rd party products you\xe2\x80\x99\xe2\x80\xa6 https://t.co/g3EYDqmTNF'"
2018-12-19 23:55:01,b'#PowerApps New barcode scanner control https://t.co/3X8wWh8yrG'
2018-12-19 23:54:59,"b'RT @mG7VJxZNCI: Honestly, Zuck and his team should know better by now. \n2019 will be the year security and social media actually get along.\xe2\x80\xa6'"
